user_id,kc_id,opportunity,correct,attempt_number,time_seconds,expected_time,response_time,hint_count,kc_success_history,mistake_history,annotated_action
64525.0,1.0,1.0,1,1,32.45,13.82,SLOW,0,0,0,ANSWER
64525.0,1.0,2.0,1,1,4.92,13.82,SLOW,0,1,0,ANSWER
70363.0,1.0,1.0,0,2,25.39,13.82,SLOW,0,0,0,HINT
70363.0,1.0,2.0,1,1,4.86,13.82,SLOW,0,0,1,ANSWER
70363.0,1.0,3.0,0,14,19.81,13.82,SLOW,3,1,1,TEACH_PRIOR
70363.0,1.0,4.0,1,1,16.03,13.82,SLOW,0,1,2,ANSWER
70363.0,1.0,5.0,1,1,15.05,13.82,SLOW,0,2,2,ANSWER
70363.0,1.0,6.0,1,1,10.73,13.82,SLOW,0,3,2,ANSWER
70677.0,1.0,1.0,1,1,23.24,13.82,SLOW,0,0,0,ANSWER
70677.0,1.0,2.0,1,1,11.51,13.82,SLOW,0,1,0,ANSWER
70695.0,1.0,1.0,1,1,14.89,13.82,SLOW,0,0,0,ANSWER
70695.0,1.0,2.0,1,1,32.84,13.82,SLOW,0,1,0,ANSWER
70699.0,1.0,1.0,1,1,38.86,13.82,SLOW,0,0,0,ANSWER
70699.0,1.0,2.0,1,1,6.25,13.82,SLOW,0,1,0,ANSWER
70707.0,1.0,1.0,1,1,5.71,13.82,SLOW,0,0,0,ANSWER
70707.0,1.0,2.0,1,1,4.74,13.82,SLOW,0,1,0,ANSWER
70727.0,1.0,1.0,1,1,13.82,13.82,SLOW,0,0,0,ANSWER
70727.0,1.0,2.0,1,1,7.44,13.82,SLOW,0,1,0,ANSWER
70729.0,1.0,1.0,0,2,12.9,13.82,SLOW,0,0,0,HINT
70729.0,1.0,2.0,1,1,10.96,13.82,SLOW,0,0,1,ANSWER
70729.0,1.0,3.0,0,2,27.86,13.82,SLOW,3,1,1,TEACH_PRIOR
70729.0,1.0,4.0,1,1,13.48,13.82,SLOW,0,1,2,ANSWER
70729.0,1.0,5.0,1,1,5.38,13.82,SLOW,0,2,2,ANSWER
70730.0,1.0,1.0,0,2,154.88,13.82,SLOW,0,0,0,HINT
70730.0,1.0,2.0,0,4,53.69,13.82,SLOW,0,0,1,TEACH_PRIOR
70730.0,1.0,3.0,1,1,34.67,13.82,SLOW,0,0,2,ANSWER
70730.0,1.0,4.0,1,1,4.78,13.82,SLOW,0,1,2,ANSWER
70730.0,1.0,5.0,1,1,9.0,13.82,SLOW,0,2,2,ANSWER
70733.0,1.0,1.0,0,2,9.57,13.82,SLOW,0,0,0,HINT
70733.0,1.0,2.0,1,1,6.42,13.82,SLOW,0,0,1,ANSWER
70733.0,1.0,3.0,0,3,11.36,13.82,SLOW,0,1,1,TEACH_PRIOR
70733.0,1.0,4.0,1,1,4.41,13.82,SLOW,0,1,2,ANSWER
70733.0,1.0,5.0,1,1,6.9,13.82,SLOW,0,2,2,ANSWER
70736.0,1.0,1.0,0,2,60.95,13.82,SLOW,0,0,0,HINT
70736.0,1.0,2.0,0,3,98.75,13.82,SLOW,3,0,1,TEACH_PRIOR
70736.0,1.0,3.0,1,1,17.94,13.82,SLOW,0,0,2,ANSWER
70736.0,1.0,4.0,1,1,6.35,13.82,SLOW,0,1,2,ANSWER
70736.0,1.0,5.0,1,1,5.28,13.82,SLOW,0,2,2,ANSWER
70736.0,1.0,6.0,1,1,9.65,13.82,SLOW,0,3,2,ANSWER
70736.0,1.0,7.0,1,1,4.62,13.82,SLOW,0,4,2,ANSWER
70746.0,1.0,1.0,1,1,4.45,13.82,SLOW,0,0,0,ANSWER
70746.0,1.0,2.0,1,1,3.94,13.82,FAST,0,1,0,ANSWER
70756.0,1.0,1.0,1,1,7.11,13.82,SLOW,0,0,0,ANSWER
70756.0,1.0,2.0,1,1,6.97,13.82,SLOW,0,1,0,ANSWER
70759.0,1.0,1.0,1,1,14.56,13.82,SLOW,0,0,0,ANSWER
70759.0,1.0,2.0,1,1,25.13,13.82,SLOW,0,1,0,ANSWER
70872.0,1.0,1.0,1,1,7.28,13.82,SLOW,0,0,0,ANSWER
70872.0,1.0,2.0,1,1,7.23,13.82,SLOW,0,1,0,ANSWER
70874.0,1.0,1.0,0,3,155.28,13.82,SLOW,2,0,0,TEACH_PRIOR
70874.0,1.0,2.0,1,1,22.58,13.82,SLOW,0,0,1,ANSWER
70874.0,1.0,3.0,1,1,38.12,13.82,SLOW,0,1,1,ANSWER
70874.0,1.0,4.0,1,1,4.66,13.82,SLOW,0,2,1,ANSWER
71175.0,1.0,1.0,0,3,49.89,13.82,SLOW,0,0,0,TEACH_PRIOR
71175.0,1.0,2.0,1,1,43.59,13.82,SLOW,0,0,1,ANSWER
71175.0,1.0,3.0,1,1,6.73,13.82,SLOW,0,1,1,ANSWER
71175.0,1.0,4.0,1,1,35.58,13.82,SLOW,0,2,1,ANSWER
71176.0,1.0,1.0,1,1,120.26,13.82,SLOW,0,0,0,ANSWER
71176.0,1.0,2.0,0,3,13.75,13.82,SLOW,1,1,0,TEACH_PRIOR
71176.0,1.0,3.0,0,2,21.47,13.82,SLOW,0,1,1,HINT
71176.0,1.0,4.0,1,1,7.62,13.82,SLOW,0,1,2,ANSWER
71176.0,1.0,5.0,0,2,6.14,13.82,SLOW,0,2,2,TEACH_PRIOR
71177.0,1.0,1.0,1,1,146.81,13.82,SLOW,0,0,0,ANSWER
71177.0,1.0,2.0,1,1,16.64,13.82,SLOW,0,1,0,ANSWER
